track_name,artist_name,valence_%,energy_%,danceability_%,acousticness_%,instrumentalness_%,cover_url,mood
El Gordo Trae El Mando,Chino Pacas,0.96,0.8,0.74,0.18,0.0,https://i.scdn.co/image/ab67616d0000b2736a6ab689151163a1e9f60f36,happy
Mi Bello Angel,Natanael Cano,0.9,0.77,0.81,0.01,0.0,https://i.scdn.co/image/ab67616d0000b273e2e093427065eaca9e2f2970,happy
Bye,Peso Pluma,0.7,0.81,0.78,0.57,0.0,https://i.scdn.co/image/ab67616d0000b27310c8a001a18fd9f1b3552a9d,neutral
Danza Kuduro,"Don Omar, Lucenzo",0.86,0.92,0.47,0.08,0.0,https://i.scdn.co/image/ab67616d0000b2734640a26eb27649006be29a94,happy
Nosso Quadro,"Ana Castela, AgroPlay",0.61,0.71,0.69,0.33,0.0,Not Found,neutral
Locked Out Of Heaven,Bruno Mars,0.87,0.7,0.73,0.06,0.0,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,neutral
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",0.85,0.52,0.5,0.11,0.0,Not Found,neutral
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",0.4,0.67,0.54,0.0,0.0,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,neutral
Counting Stars,OneRepublic,0.48,0.71,0.66,0.06,0.0,https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb,angry
Ghost,Justin Bieber,0.41,0.74,0.61,0.21,0.0,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,angry
Under The Influence,Chris Brown,0.31,0.69,0.73,0.06,0.0,https://i.scdn.co/image/ab67616d0000b2739a494f7d8909a6cc4ceb74ac,neutral
PRC,"Natanael Cano, Peso Pluma",0.89,0.83,0.78,0.1,0.0,Not Found,happy
Gasolina,Daddy Yankee,0.74,0.8,0.86,0.33,0.0,https://i.scdn.co/image/ab67616d0000b2736bdcdf82ecce36bff808a40c,happy
One Dance,"Drake, WizKid, Kyla",0.36,0.63,0.77,0.01,0.0,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,neutral
Enchanted,Taylor Swift,0.24,0.62,0.45,0.08,0.0,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,neutral
Save Your Tears,The Weeknd,0.61,0.82,0.68,0.02,0.0,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,neutral
Sure Thing,Miguel,0.51,0.6,0.68,0.03,0.0,https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c,neutral
Every Breath You Take - Remastered 2003,The Police,0.73,0.45,0.82,0.54,0.0,https://i.scdn.co/image/ab67616d0000b2730408dc279dd7c7354ff41014,relaxed
The Night We Met,Lord Huron,0.1,0.37,0.45,0.97,0.25,https://i.scdn.co/image/ab67616d0000b2739d2efe43d5b7ebc7cb60ca81,sad
We Found Love,"Rihanna, Calvin Harris",0.6,0.77,0.73,0.03,0.0,https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46,neutral
When I Was Your Man,Bruno Mars,0.43,0.27,0.6,0.94,0.0,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,neutral
Let Me Down Slowly,Alec Benjamin,0.51,0.55,0.65,0.73,0.0,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370,neutral
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",0.13,0.53,0.6,0.04,0.0,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,neutral
Do I Wanna Know?,Arctic Monkeys,0.42,0.53,0.55,0.17,0.0,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,neutral
Demons,Imagine Dragons,0.38,0.71,0.33,0.2,0.0,https://i.scdn.co/image/ab67616d0000b273b2b2747c89d2157b0b29fb6a,angry
ýýýýýýýýýýýý,YOASOBI,0.84,0.94,0.57,0.11,0.0,Not Found,happy
Reminder,The Weeknd,0.4,0.5,0.71,0.16,0.0,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,neutral
Shake It Off,Taylor Swift,0.95,0.8,0.65,0.05,0.0,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,happy
Why'd You Only Call Me When You're High?,Arctic Monkeys,0.81,0.63,0.7,0.04,0.0,Not Found,neutral
SNAP,Rosa Linn,0.53,0.64,0.56,0.11,0.0,https://i.scdn.co/image/ab67616d0000b2731391b1fdb63da53e5b112224,neutral
Shape of You,Ed Sheeran,0.93,0.65,0.83,0.58,0.0,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,neutral
Night Changes,One Direction,0.4,0.52,0.67,0.86,0.0,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,neutral
Fin de Semana,"Oscar Maydon, Junior H",0.37,0.54,0.7,0.06,0.0,https://i.scdn.co/image/ab67616d0000b2739b7e1ea3815a172019bc5e56,neutral
